MISSION ELAPSED TIME (mins),WPSA Link Budget,DS54 Link Budget,DS24 Link Budget,DS34 Link Budget
0,10000,0,0,0
8.236480545,0,0,0,0
9.236480545,0,10000,0,0
10.23648055,0,10000,0,0
11.23648055,0,10000,0,0
12.23648055,0,10000,0,0
13.23648055,0,10000,0,0
14.23648055,0,10000,0,0
15.23648055,0,10000,0,0
16.23648055,0,10000,0,0
17.23648055,0,10000,0,0
18.23648055,0,10000,0,0
19.23648055,0,10000,0,0
20.23648055,0,10000,0,0
21.23648055,0,10000,0,0
22.23648055,0,0,0,0
23.23648055,0,0,0,0
24.23648055,0,0,0,0
25.23648055,0,0,0,0
26.23648055,0,0,0,0
27.23648055,0,0,0,0
28.23648055,0,0,0,0
29.23648055,0,0,0,0
30.23648055,0,0,0,0
31.23648055,0,0,0,0
32.23648055,0,0,0,0
33.23648055,0,0,0,0
34.23648055,0,0,0,0
35.23648055,0,0,0,0
36.23648055,0,0,0,0
37.23648055,0,0,0,0
38.23648055,0,0,0,0
39.23648055,0,0,0,0
40.23648055,0,0,0,0
41.23648055,0,0,0,0
42.23648055,0,0,0,0
43.23648055,0,0,0,0
44.23648055,0,0,0,0
45.23648055,0,0,0,0
46.23648055,0,0,0,0
47.23648055,0,0,0,0
48.23648055,0,0,0,0
48.63913203,0,0,0,0
49.63913203,0,0,0,0
50.63913203,0,0,0,0
51.63913203,0,0,0,0
52.63913203,0,0,0,0
53.63913203,0,0,0,0
54.63913203,0,0,0,0
55.63913203,0,0,0,0
56.63913203,0,0,0,0
57.63913203,0,0,0,0
58.63913203,0,0,0,0
59.63913203,0,0,0,0
60.63913203,0,0,0,0
61.63913203,0,0,0,0
62.63913203,0,0,0,10000
63.63913203,0,0,0,10000
64.63913203,0,0,0,10000
65.63913203,0,0,0,10000
66.63913203,0,0,0,10000
67.63913203,0,0,0,10000
68.63913203,0,0,0,10000
69.63913203,0,0,0,10000
70.63913203,0,0,0,10000
71.63913203,0,0,0,10000
72.63913203,0,0,0,10000
73.63913203,0,0,0,10000
74.63913203,0,0,0,10000
75.63913203,0,0,0,10000
76.63913203,0,0,0,10000
77.63913203,0,0,0,10000
78.63913203,0,0,0,10000
79.63913203,0,0,0,10000
80.63913203,0,0,0,10000
81.63913203,0,0,0,0
82.63913203,0,0,0,0
83.63913203,0,0,0,0
84.63913203,0,0,0,0
85.63913203,0,0,0,0
86.63913203,0,0,0,0
87.63913203,0,0,0,0
88.63913203,0,0,0,0
89.63913203,0,0,0,0
90.63913203,0,0,0,0
91.63913203,0,0,0,0
92.63913203,0,0,0,0
93.63913203,0,0,0,0
94.63913203,0,0,0,0
95.63913203,0,0,0,0
96.63913203,0,0,0,0
97.63913203,0,0,0,0
98.63913203,0,0,0,0
99.63913203,0,0,0,0
100.1082326,0,0,0,0
101.1082326,0,0,0,0
102.1082326,0,0,0,0
103.1082326,0,0,10000,0
104.1082326,0,0,10000,0
105.1082326,0,0,10000,0
106.1082326,0,0,10000,0
107.1082326,2675.37592,0,10000,0
108.1082326,2675.37592,0,10000,0
109.1082326,2675.37592,0,10000,0
110.1082326,2675.37592,0,10000,0
111.1082326,2675.37592,0,10000,0
112.1082326,2675.37592,0,0,0
113.1082326,2675.37592,0,0,0
114.1082326,2675.37592,0,0,0
115.1082326,2675.37592,0,0,0
116.1082326,2675.37592,0,0,0
117.1082326,2675.37592,10000,0,0
118.094466,2675.37592,10000,0,0
119.094466,2675.37592,10000,0,0
120.094466,2675.37592,10000,0,0
121.094466,2675.37592,10000,0,0
122.094466,2675.37592,10000,0,0
123.094466,2675.37592,10000,0,0
124.094466,2675.37592,10000,0,0
125.094466,2675.37592,10000,0,0
126.094466,2675.37592,10000,0,0
127.094466,2675.37592,10000,0,0
128.094466,2675.37592,10000,0,0
129.094466,2675.37592,10000,0,0
130.094466,2675.37592,10000,0,0
131.094466,2675.37592,10000,0,0
132.094466,2675.37592,10000,0,0
133.094466,2675.37592,10000,0,0
134.094466,2675.37592,10000,0,0
135.094466,2675.37592,10000,0,0
136.094466,2675.37592,10000,0,0
137.094466,2675.37592,10000,0,0
138.094466,2675.37592,10000,0,0
139.094466,2675.37592,10000,0,0
140.094466,2675.37592,10000,0,0
141.094466,2675.37592,10000,0,0
142.094466,2675.37592,10000,0,0
143.094466,2675.37592,10000,0,0
144.094466,2675.37592,10000,0,0
145.094466,2675.37592,10000,0,0
146.094466,2675.37592,10000,0,0
147.094466,2675.37592,10000,0,0
148.094466,2675.37592,10000,0,0
149.094466,2675.37592,10000,0,0
150.094466,2675.37592,10000,0,0
151.094466,2675.37592,10000,0,0
152.094466,2675.37592,10000,0,0
153.094466,2675.37592,10000,0,0
154.094466,2675.37592,10000,0,0
155.094466,2675.37592,10000,0,0
156.094466,2675.37592,10000,0,0
157.094466,2675.37592,10000,0,0
158.094466,2675.37592,10000,0,0
159.094466,2675.37592,10000,0,0
160.094466,2675.37592,10000,0,0
161.094466,2675.37592,10000,0,0
162.094466,2675.37592,10000,0,0
163.094466,2675.37592,10000,0,0
164.094466,2675.37592,10000,0,0
165.094466,2675.37592,10000,0,0
166.094466,2675.37592,10000,0,0
167.094466,2675.37592,10000,0,0
168.094466,2675.37592,10000,0,0
169.094466,2675.37592,10000,0,0
170.094466,2675.37592,10000,0,0
171.094466,2675.37592,10000,0,0
172.094466,2675.37592,10000,0,0
173.094466,2675.37592,10000,0,0
174.094466,2675.37592,10000,0,0
175.094466,2675.37592,10000,0,0
176.094466,2675.37592,10000,0,0
177.094466,2675.37592,10000,0,0
178.094466,2675.37592,10000,0,0
179.094466,2675.37592,10000,0,0
180.094466,2675.37592,10000,0,0
181.094466,2675.37592,10000,0,0
182.094466,2675.37592,10000,0,0
183.094466,2675.37592,10000,0,0
184.094466,2675.37592,10000,0,0
185.094466,2675.37592,10000,0,0
186.094466,2675.37592,10000,0,0
187.094466,2675.37592,10000,0,0
188.094466,2675.37592,10000,0,0
189.094466,2675.37592,10000,0,0
190.094466,2675.37592,10000,0,0
191.094466,2675.37592,10000,0,0
192.094466,2675.37592,10000,0,0
193.094466,2675.37592,10000,0,0
194.094466,2675.37592,10000,0,0
195.094466,2675.37592,10000,0,0
196.094466,2675.37592,10000,0,0
196.649466,2675.37592,10000,0,0
197.649466,2675.37592,10000,0,0
198.649466,2675.37592,10000,0,0
199.649466,2675.37592,10000,0,0
200.649466,2675.37592,10000,0,0
201.649466,2675.37592,10000,0,0
202.649466,2675.37592,10000,0,0
203.649466,2675.37592,10000,0,0
204.649466,2675.37592,10000,0,0
205.649466,2675.37592,10000,0,0
206.649466,2675.37592,10000,0,0
207.649466,2675.37592,10000,0,0
208.649466,2675.37592,10000,0,0
209.649466,2675.37592,10000,0,0
210.649466,2675.37592,10000,0,0
211.649466,2675.37592,10000,0,0
212.649466,2675.37592,10000,0,0
213.649466,2675.37592,10000,0,0
214.649466,2675.37592,10000,0,0
215.649466,2675.37592,10000,0,0
216.649466,2675.37592,10000,0,0
217.649466,2675.37592,10000,0,0
218.649466,2675.37592,10000,0,0
219.649466,2675.37592,10000,0,0
220.649466,2675.37592,10000,0,0
221.649466,2675.37592,10000,0,0
222.649466,2675.37592,10000,0,0
223.649466,2675.37592,10000,0,0
224.649466,2675.37592,10000,0,0
225.649466,2675.37592,10000,0,0
226.649466,2675.37592,10000,0,0
227.649466,2675.37592,10000,0,0
228.649466,2675.37592,10000,0,0
229.649466,2675.37592,10000,0,0
230.649466,2675.37592,10000,0,0
231.649466,2675.37592,10000,0,0
232.649466,2675.37592,10000,0,0
233.649466,2675.37592,10000,0,0
234.649466,2675.37592,10000,0,0
235.649466,2675.37592,10000,0,0
236.649466,2675.37592,10000,0,0
237.649466,2675.37592,10000,0,0
238.649466,2675.37592,10000,0,0
239.649466,2675.37592,10000,0,0
240.649466,2675.37592,10000,0,0
241.649466,2675.37592,10000,0,0
242.649466,2675.37592,10000,0,0
243.649466,2675.37592,10000,0,0
244.649466,2675.37592,10000,0,0
245.649466,2675.37592,10000,0,0
